City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,puerto ayora,-0.7393,-90.3518,298.13,87,67,3.58,EC,1670091494
113,palana,59.1167,159.9667,259.51,91,100,7.08,RU,1670091495
114,bredasdorp,-34.5322,20.0403,288.27,61,65,3.02,ZA,1670091495
115,komsomolskiy,40.4272,71.7189,274.55,86,100,1.03,UZ,1670091495
116,chuy,-33.6971,-53.4616,293.13,84,100,2.61,UY,1670090935
117,ribeira grande,38.5167,-28.7,287.37,77,75,8.05,PT,1670091496
118,yelizavetinskoye,45.0072,43.3494,271.42,77,100,8.84,RU,1670091497
119,kloulklubed,7.0419,134.2556,299.43,77,99,6.8,PW,1670091497
120,shubarkuduk,49.1447,56.4872,259.82,81,7,5.8,KZ,1670090992
121,toamasina,-18.1667,49.3833,300.15,74,75,3.09,MG,1670091497
122,pisco,-13.7,-76.2167,294.18,78,0,5.14,PE,1670090968
123,sarangani,5.4033,125.4636,301.17,73,78,6.27,PH,1670091498
124,felanitx,39.4696,3.1483,284.79,80,57,2.37,ES,1670091498
125,yellowknife,62.456,-114.3525,252.9,77,100,3.09,CA,1670091478
126,raudeberg,61.9875,5.1352,275.3,68,70,1.47,NO,1670091499
127,meulaboh,4.1363,96.1285,296.96,87,100,1.7,ID,1670091499
128,longyearbyen,78.2186,15.6401,273.06,80,75,9.77,SJ,1670090937
129,jamestown,42.097,-79.2353,278.92,73,100,9.26,US,1670090907
130,wuan,31.6836,112.0044,277.02,59,49,3.88,CN,1670091500
131,micheweni,-4.9667,39.8333,299.3,81,1,3.7,TZ,1670091500
132,port augusta,-32.5,137.7667,296.6,30,1,1.45,AU,1670091501
133,maple creek,49.9168,-109.4848,267.38,61,21,0.51,CA,1670091333
134,ialibu,-6.2821,143.9935,286.15,97,97,1.15,PG,1670091502
135,esperance,-33.8667,121.9,289.83,85,89,5.73,AU,1670090781
136,tautira,-17.7333,-149.15,299.6,80,64,8.85,PF,1670091503
137,beringovskiy,63.05,179.3167,269.53,96,100,11.87,RU,1670091505
138,pevek,69.7008,170.3133,254.07,83,15,4.73,RU,1670091505
139,girne,35.3417,33.3167,287.9,73,95,1.52,CY,1670091313
140,kahului,20.8947,-156.47,299.17,77,20,4.47,US,1670091001
141,labuan,5.2767,115.2417,298.35,100,20,0.0,MY,1670091506
142,upernavik,72.7868,-56.1549,272.52,79,100,16.71,GL,1670091506
143,biak,-0.9131,122.8766,297.55,85,100,1.34,ID,1670091507
144,zhigansk,66.7697,123.3711,243.41,96,100,5.12,RU,1670091507
145,mubi,10.2676,13.2644,300.22,25,52,2.8,NG,1670091507
146,fukue,32.6881,128.8419,287.5,77,100,6.96,JP,1670091508
147,kamaishi,39.2667,141.8833,282.76,79,52,4.17,JP,1670091508
148,heihe,50.2441,127.4902,244.48,97,18,1.96,CN,1670091509
149,tianpeng,30.9866,103.9393,283.0,62,100,1.09,CN,1670091510
150,suntar,62.1444,117.6319,259.96,95,100,3.1,RU,1670091510
151,lagoa,39.05,-27.9833,288.12,71,99,16.04,PT,1670091510
152,beihai,21.4833,109.1,289.17,82,99,4.87,CN,1670091511
153,kavieng,-2.5744,150.7967,300.84,79,100,3.45,PG,1670091511
154,synya,65.3718,58.0387,257.69,98,100,1.42,RU,1670091512
155,moree,-29.4667,149.85,290.37,56,80,3.58,AU,1670091512
156,senador jose porfirio,-2.5908,-51.9542,302.87,56,93,1.16,BR,1670091512
157,port blair,11.6667,92.75,300.31,82,98,4.38,IN,1670091355
158,buala,-8.145,159.5921,299.27,83,92,2.67,SB,1670091513
159,viedma,-40.8135,-62.9967,305.17,17,74,4.89,AR,1670091514
160,san andres,12.5847,-81.7006,303.16,66,20,8.23,CO,1670091514
161,maues,-3.3836,-57.7186,300.83,85,99,1.49,BR,1670091514
162,dikson,73.5069,80.5464,267.57,95,100,5.76,RU,1670091383
163,khatanga,71.9667,102.5,253.76,95,100,9.13,RU,1670090919
164,verkhoyansk,67.5447,133.385,250.15,99,100,2.0,RU,1670091515
165,dafeng,23.4517,108.5881,283.62,92,100,2.2,CN,1670091515
166,bandarbeyla,9.4942,50.8122,298.9,70,5,8.61,SO,1670091516
167,porbandar,21.6422,69.6093,297.06,46,33,4.34,IN,1670091516
168,nanortalik,60.1432,-45.2371,272.39,81,100,5.28,GL,1670091517
169,asfi,32.2994,-9.2372,290.39,79,15,4.84,MA,1670091517
170,kyzyl-suu,42.3414,78.0056,268.72,63,49,2.91,KG,1670091518
171,arlit,18.7369,7.3853,299.49,13,63,2.13,NE,1670091129
172,te anau,-45.4167,167.7167,281.78,89,100,2.58,NZ,1670091518
173,qui nhon,13.7667,109.2333,297.59,90,100,4.17,VN,1670091518
174,muhos,64.808,25.9931,268.09,98,89,1.56,FI,1670091519
175,vila,42.0304,-8.1588,276.64,79,1,1.65,PT,1670091087
176,batticaloa,7.7102,81.6924,298.94,84,97,2.14,LK,1670091519
177,carnarvon,-24.8667,113.6333,294.08,81,0,8.2,AU,1670090924
178,bilma,18.6853,12.9164,299.06,17,51,3.72,NE,1670091123
179,talnakh,69.4865,88.3972,251.04,99,83,2.19,RU,1670091386
180,thompson,55.7435,-97.8558,248.24,77,0,4.63,CA,1670091520
